Name,Photo,Affiliation
Atika Rahman Paddo,static/img/mentors/atika.jpg,Indiana University Purdue University Indianapolis
Beatrice Brown-Mulry,static/img/mentors/beatrice.png,Emory University
Kaesha Thomas,static/img/mentors/kaesha.jpg,Emory University
Hari Trivedi,static/img/mentors/hari.jpg, Emory University
Saptarshi Purkayastha,static/img/mentors/purkayastha.jpg,Indiana University Purdue University Indianapolis
Brandon Price,static/img/mentors/brandon.jpg,University of Florida
Mornin Feng,static/img/mentors/mornin.jpeg,National University of Singapore
Rakesh Shiradkar,static/img/mentors/rakesh.jpg,Emory University
Judy Gichoya,static/img/mentors/gichoya.jpg,Emory University
MinJae Woo,static/img/mentors/minjae.png,Kennesaw State University
Zach Zaiman,static/img/mentors/zaiman.jpg,Emory University
Leo Anthony Celi,static/img/mentors/celi.png,"MIT-LCP, Beth Israel Deaconess Medical Center, Harvard Medical School"
Ramon Correa,static/img/mentors/ramon.jpg,Arizona State University
Siva Bhavani,static/img/mentors/siva.jpg,Emory University
Chad Robichaux,static/img/mentors/chad.jpeg,Emory University
Marly van Assen,static/img/mentors/marly.jpg,Emory University
Tyler Christian Steed,static/img/mentors/tyler.jpg,Emory University
Vedant Joshi,static/img/mentors/vedant.jpg,Arizona State University
Jason Jeong,static/img/mentors/jason.jpg,Arizona State University
João Matos,static/img/mentors/matos.jpeg,MIT
Chrystinne Fernandes,static/img/mentors/fernandes.jpg,MIT
David Restrepo,static/img/mentors/restrepo.jpg,MIT
Michael Scanlan,static/img/mentors/scanlan.png,MIT
Luis Nakayama,static/img/mentors/nakayama.jfif,MIT
Po-Chih Kuo,static/img/mentors/kuo.jpg,NTHU
Bersu Ozcan,static/img/mentors/bersu.jpg,UT Southwestern
Shahriar Faghani,static/img/mentors/shahriar.jpg,Mayo Clinic
Swapnil Mishra,static/img/mentors/swapnil.jpeg,National University of Singapore
Janice Newsome,static/img/mentors/janice.png,Emory University
Bardia Khosravi,static/img/mentors/bardia.jpg,Mayo Clinic
Jacqueline Williams,static/img/mentors/jackie.png,Emory University
